(-80.4352591, 37.241108)	(-80.43529808515726, 37.24104527680789)
(-80.4352533, 37.2369736)	(-80.4352533, 37.236973600000006)
(-80.4352533, 37.236973600000006)	(-80.435462, 37.2369026)
(-80.4350372, 37.2370533)	(-80.4352533, 37.236973600000006)
(-80.4352533, 37.236973600000006)	(-80.4352533, 37.2369736)
(-80.43613211552014, 37.23839164951424)	(-80.4356137, 37.2385682)
(-80.4354057, 37.2382)	(-80.4356137, 37.2385682)
(-80.4354057, 37.2382)	(-80.4353416, 37.2382224)
(-80.4351578, 37.2378882)	(-80.4353416, 37.2382224)
(-80.4351578, 37.2378882)	(-80.4349365, 37.237462)
(-80.434867, 37.2374861)	(-80.4349365, 37.237462)
(-80.4346528, 37.2370613)	(-80.434867, 37.2374861)
(-80.4346528, 37.2370613)	(-80.4347202, 37.2370404)
(-80.4347202, 37.2370404)	(-80.4347823, 37.2370183)
(-80.4347823, 37.2370183)	(-80.4347435, 37.2369417)
(-80.4347435, 37.2369417)	(-80.4348876, 37.2368938)
(-80.4348876, 37.2368938)	(-80.43483786738831, 37.23679137084309)
(-80.4348929, 37.2364664)	(-80.43483786738831, 37.23679137084309)
(-80.4348568, 37.2363896)	(-80.4348929, 37.2364664)
(-80.434825, 37.2363221)	(-80.4348568, 37.2363896)
(-80.434825, 37.2363221)	(-80.4346135, 37.2363905)
(-80.4344899, 37.2364348)	(-80.4346135, 37.2363905)
(-80.4344899, 37.2364348)	(-80.4344153, 37.2364588)
(-80.4342646, 37.2361509)	(-80.4344153, 37.2364588)
(-80.4339574, 37.2354665)	(-80.4342646, 37.2361509)
(-80.4339283, 37.2354078)	(-80.4339574, 37.2354665)
(-80.4339283, 37.2354078)	(-80.4338128, 37.2354392)
(-80.4338128, 37.2354392)	(-80.4337379, 37.2354633)
(-80.4337379, 37.2354633)	(-80.4336078, 37.2355028)
(-80.433512, 37.2352989)	(-80.4336078, 37.2355028)
(-80.4342646, 37.2361509)	(-80.4342065, 37.2361687)
(-80.4342065, 37.2361687)	(-80.4340576, 37.2362063)
(-80.4340576, 37.2362063)	(-80.43389007134552, 37.23634626281233)
(-80.43389007134552, 37.23634626281233)	(-80.4336922129944, 37.23651156475039)
(-80.4342065, 37.2361687)	(-80.43434515103856, 37.2364283410646)
(-80.4345524, 37.2362718)	(-80.4346135, 37.2363905)
(-80.4344688, 37.2361094)	(-80.4345524, 37.2362718)
(-80.434391, 37.235958399999994)	(-80.4344688, 37.2361094)
(-80.4349365, 37.237462)	(-80.4350107, 37.2374542)
(-80.4350107, 37.2374542)	(-80.4350531, 37.2374498)
(-80.4350531, 37.2374498)	(-80.4352163, 37.2373864)
(-80.4354402, 37.2373062)	(-80.4352163, 37.2373864)
(-80.4354402, 37.2373062)	(-80.435655, 37.2372324)
(-80.435655, 37.2372324)	(-80.4357406, 37.2373966)
(-80.4357909, 37.2374847)	(-80.4357406, 37.2373966)
(-80.4349365, 37.237462)	(-80.434872, 37.2375602)
(-80.4345819171887, 37.23766062095945)	(-80.434872, 37.2375602)
(-80.4340661, 37.2378423)	(-80.4345819171887, 37.23766062095945)
(-80.4340116, 37.2377912)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.4340661, 37.2378423)
(-80.4340116, 37.2377912)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.43435185052047, 37.2376680167883)
(-80.4340116, 37.2377912)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.43352418356884, 37.23796073283094)
(-80.43401159999999, 37.237791200000004)	(-80.43401159999999, 37.237791200000004)
(-80.43401159999999, 37.237791200000004)	(-80.4340116, 37.2377912)
(-80.4340116, 37.2377912)	(-80.43361161989034, 37.23733133520287)
(-80.43361161989034, 37.23733133520287)	(-80.4327321483036, 37.236320189865715)
