"epsilons","lambdas","flatnorms","norm_lengths","norm_areas","input_lengths","input_ratios"
"0.0010",1000,0.5433469423716812,0.00011936870737285347,7.815961189464989e-10,0.00022112998918766361,0.2211299891876636
"0.0010",1000,0.4937381171310605,0.00012146508157412329,8.356780457549528e-10,0.0002477037023807786,0.24770370238077857
"0.0010",1000,0.4937381171310605,0.00012146508157412329,8.356780457549528e-10,0.0002477037023807786,0.24770370238077857
"0.0010",1000,0.5082498999946612,0.00010862026715267817,2.9472572172635725e-10,0.0002142941747269377,0.21429417472693768
"0.0010",1000,0.5082498999946612,0.00010862026715267817,2.9472572172635725e-10,0.0002142941747269377,0.21429417472693768
"0.0010",1000,0.5218279717576827,0.00011763808932506464,4.2893629612565784e-10,0.00022625660564630712,0.22625660564630712
"0.0010",1000,0.5218279717576827,0.00011763808932506464,4.2893629612565784e-10,0.00022625660564630712,0.22625660564630712
"0.0010",1000,0.5730757003782269,0.00014634810519149254,4.6061571709061054e-10,0.00025617683808908695,0.2561768380890869
"0.0010",1000,0.5730757003782269,0.00014634810519149254,4.6061571709061054e-10,0.00025617683808908695,0.2561768380890869
"0.0010",1000,0.5381981306274538,0.0001506642424129833,7.291167209690352e-10,0.0002812967019366115,0.2812967019366115
"0.0010",1000,0.5381981306274538,0.0001506642424129833,7.291167209690352e-10,0.0002812967019366115,0.2812967019366115
"0.0010",1000,0.41299135735172154,0.00014625740393000067,8.652914356240887e-10,0.0003562367413910035,0.3562367413910035
"0.0010",1000,0.41299135735172154,0.00014625740393000067,8.652914356240887e-10,0.0003562367413910035,0.3562367413910035
"0.0010",1000,0.4435757104046328,0.0001735452029106849,1.0212263416481657e-09,0.0003935437066495196,0.3935437066495196
"0.0010",1000,0.4435757104046328,0.0001735452029106849,1.0212263416481657e-09,0.0003935437066495196,0.3935437066495196
"0.0010",1000,0.43969012249507317,0.00018017565830701405,1.2918287795654535e-09,0.0004127167698396793,0.4127167698396793
"0.0010",1000,0.43969012249507317,0.00018017565830701405,1.2918287795654535e-09,0.0004127167698396793,0.4127167698396793
"0.0010",1000,0.3941069171432731,0.00013592833736673817,8.049943012396328e-10,0.0003469447647838922,0.3469447647838922
"0.0010",1000,0.4714031162082865,0.0001655097255267427,8.651807008475852e-10,0.0003529355248344997,0.3529355248344997
"0.0010",1000,0.4714031162082865,0.0001655097255267427,8.651807008475852e-10,0.0003529355248344997,0.3529355248344997
"0.0010",1000,0.4883681202891695,0.00018132672514267046,9.037201459456109e-10,0.00037314156620361493,0.37314156620361494
"0.0010",1000,0.4714031162082865,0.0001655097255267427,8.651807008475852e-10,0.0003529355248344997,0.3529355248344997
"0.0010",1000,0.455464166919085,0.00012285670811208754,4.629573439818212e-10,0.0002707560208089379,0.2707560208089379
"0.0010",1000,0.4883681202891695,0.00018132672514267046,9.037201459456109e-10,0.00037314156620361493,0.37314156620361494
"0.0010",1000,0.4649848099908487,0.00013797475563279705,7.228669186986538e-10,0.00029828420105642884,0.29828420105642883
"0.0010",1000,0.3782168760702539,0.00013761021684337087,8.535161714779652e-10,0.00036609612572953816,0.36609612572953815
"0.0010",1000,0.37909296256533287,0.0001408960187242916,1.0084499156996446e-09,0.00037432630687660276,0.37432630687660273
"0.0010",1000,0.37909296256533287,0.0001408960187242916,1.0084499156996446e-09,0.00037432630687660276,0.37432630687660273
"0.0010",1000,0.3833285092704239,0.00014695185581518877,8.748555969287374e-10,0.0003856397524240267,0.3856397524240267
"0.0010",1000,0.5399289822741906,0.00013119705462367315,5.662273323877047e-10,0.0002440381722075217,0.2440381722075217
"0.0010",1000,0.48903662509829665,0.00014133058511828879,7.686029949545214e-10,0.0002905696236650604,0.2905696236650604
"0.0010",1000,0.5087542504932431,0.0001013036651827434,7.063542083922479e-10,0.00020050941941465012,0.20050941941465011
"0.0010",1000,0.5130928703334144,9.644660524256904e-05,6.93587366090055e-10,0.00018932282677312616,0.18932282677312615
"0.0010",1000,0.5130928703334144,9.644660524256904e-05,6.93587366090055e-10,0.00018932282677312616,0.18932282677312615
"0.0010",1000,0.5995794723130619,7.49584904756356e-05,1.6640478450412676e-10,0.00012529597614528457,0.12529597614528457
"0.0010",1000,0.5995794723130619,7.49584904756356e-05,1.6640478450412676e-10,0.00012529597614528457,0.12529597614528457
"0.0010",1000,0.8139856512873447,9.145622597928682e-05,1.8522185065892706e-10,0.00011258361579840115,0.11258361579840115
"0.0010",1000,0.8139856512873447,9.145622597928682e-05,1.8522185065892706e-10,0.00011258361579840115,0.11258361579840115
"0.0010",1000,0.9508631017893628,7.86362324588371e-05,3.5470188344897066e-11,8.273714954248959e-05,0.08273714954248959
"0.0010",1000,0.9508631017893628,7.86362324588371e-05,3.5470188344897066e-11,8.273714954248959e-05,0.08273714954248959
"0.0010",1000,0.5552238402072635,7.942865502434191e-05,1.5828252148253798e-10,0.0001433420753621006,0.14334207536210058
"0.0010",1000,0.5552238402072635,7.942865502434191e-05,1.5828252148253798e-10,0.0001433420753621006,0.14334207536210058
"0.0010",1000,0.7310842387693697,6.471896154252446e-05,9.227725720489724e-11,8.865084946821693e-05,0.08865084946821693
"0.0010",1000,0.7310842387693697,6.471896154252446e-05,9.227725720489724e-11,8.865084946821693e-05,0.08865084946821693
"0.0010",1000,0.9836131478364919,0.0001267769298326183,5.267225507024083e-11,0.00012894256483522698,0.12894256483522698
"0.0010",1000,0.9836131478364919,0.0001267769298326183,5.267225507024083e-11,0.00012894256483522698,0.12894256483522698
