"flatnorms","input_ratios","index","hausdorff","MIN_X","MIN_Y","MAX_X","MAX_Y"
0.30607295505258275,0.1859305189400605,994,116.92468354221798,-80.4509768621554,37.23348412218445,-80.44897686215539,37.235484122184445
0.30607295505258275,0.1859305189400605,994,116.92468354221798,-80.4509768621554,37.23348412218445,-80.44897686215539,37.235484122184445
0.30607295505258275,0.1859305189400605,994,116.92468354221798,-80.4509768621554,37.23348412218445,-80.44897686215539,37.235484122184445
0.30607295505258275,0.1859305189400605,994,116.92468354221798,-80.4509768621554,37.23348412218445,-80.44897686215539,37.235484122184445
0.30607295505258275,0.1859305189400605,994,116.92468354221798,-80.4509768621554,37.23348412218445,-80.44897686215539,37.235484122184445
0.34350559348355153,0.26042167960628654,1003,118.52061262940383,-80.4442214658035,37.233628424759885,-80.44222146580348,37.23562842475988
0.34350559348355153,0.26042167960628654,1003,118.52061262940383,-80.4442214658035,37.233628424759885,-80.44222146580348,37.23562842475988
0.34350559348355153,0.26042167960628654,1003,118.52061262940383,-80.4442214658035,37.233628424759885,-80.44222146580348,37.23562842475988
0.34350559348355153,0.26042167960628654,1003,118.52061262940383,-80.4442214658035,37.233628424759885,-80.44222146580348,37.23562842475988
0.34350559348355153,0.26042167960628654,1003,118.52061262940383,-80.4442214658035,37.233628424759885,-80.44222146580348,37.23562842475988
